CBA_ID,UNION_ID,PSIC,REGION,EBU_YEAR_REG,SCOPE,TYPE,EMPLOYEES,MEMBERS,union_density,island_grp
NA,97,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2018,RANK AND FILE,INDEPENDENT UNION,25,13,0.52,Luzon
NA,98,ADMINISTRATIVE AND SUPPORT  SERVICE ACTIVITIES,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,1000,249,0.249,Luzon
"0769
",99,ACCOMODATION  AND FOOD SERVICE ACTIVITIES,NCR,2018,RANK AND FILE,INDEPENDENT UNION,147,96,0.6530612244897959,Luzon
NA,100,MANUFACTURING,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,90,16,0.17777777777777778,Luzon
NA,101,MANUFACTURING,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,27,27,1,Luzon
NA,102,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,72,35,0.4861111111111111,Luzon
NA,103,MANUFACTURING,NCR,2018,RANK AND FILE,"INDEPENDENT
UNION",500,190,0.38,Luzon
NA,104,MANUFACTURING,NCR,2018,RANK AND FILE,"INDEPENDENT
UNION",30,20,0.6666666666666666,Luzon
NA,105,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,70,45,0.6428571428571429,Luzon
NA,106,TRANSPORT AND STORAGE,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,218,136,0.6238532110091743,Luzon
NA,107,MANUFACTURING,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,700,150,0.21428571428571427,Luzon
NA,108,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL  ACTIVITIES",NCR,2018,SUPERVISORY,LOCAL/CHAPTER,490,78,0.15918367346938775,Luzon
NA,109,MANUFACTURING,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,50,14,0.28,Luzon
NA,110,MANUFACTURING,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,60,8,0.13333333333333333,Luzon
NA,111,CONSTRUCTION,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,135,21,0.15555555555555556,Luzon
NA,112,MANUFACTURING,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,17,17,1,Luzon
NA,113,CONSTRUCTION,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,510,26,0.050980392156862744,Luzon
0207,114,MANUFACTURING,NCR,2018,RANK AND FILE,"INDEPENDENT
UNION",13,13,1,Luzon
NA,115,MANUFACTURING,NCR,2018,RANK AND FILE,"INDEPENDENT
UNION",94,34,0.3617021276595745,Luzon
NA,116,TRANSPORT AND  STORAGE,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,35,29,0.8285714285714286,Luzon
1035,117,MANUFACTURING,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,22,11,0.5,Luzon
NA,118,MANUFACTURING,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,500,24,0.048,Luzon
NA,119,MANUFACTURING,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,835,78,0.093413174,Luzon
NA,120,TRANSPORT AND STORAGE,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,600,190,0.31666666666666665,Luzon
NA,121,ADMINISTRATIVE AND SUPPORT  SERVICE ACTIVITIES,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,400,180,0.45,Luzon
NA,122,TRANSPORT AND  STORAGE,NCR,2018,RANK AND FILE,"INDEPENDENT
UNION",194,194,1,Luzon
"0336
",123,TRANSPORT AND  STORAGE,NCR,2018,RANK AND FILE,"INDEPENDENT
UNION",107,84,0.7850467289719626,Luzon
"0967
",124,TRANSPORT AND  STORAGE,NCR,2018,RANK AND FILE,"INDEPENDENT
UNION",139,125,0.8992805755395683,Luzon
