CBA_ID,UNION_ID,PSIC.x,REGION,EBU_YEAR_REG,SCOPE.x,TYPE,EMPLOYEES,MEMBERS,union_density,island_grp,FILE_ID,FIRM_NAME.y,PSIC.y,UNION_NAME.y,START_DATE,END_DATE,BARGAIN_UNIT,SCOPE.y,YEAR_REG,Duration,CBA_yes,EVENT,UNIONAGE1,UNIONAGE2,TIMECBA,SCOPE_new,Type,Sector,sector_grp,Density
NA,206,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,30,5,16.666666666666664,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,4,4,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
0910,207,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,1396,333,23.853868194842406,Luzon,0910_Shakeys,"SHAKEY'S PIZZA VENTURES, INC. (SPAVI)",MANUFACTURING,"THE CONFEDERATION OF FILIPINO WORKERS-SHAKEY'S PIZZA ASIA VENTURES, INC.-CHAPTER (FORMERLY CFW-IFFSI-CHAPTER)",2016-11-01T00:00:00Z,2021-10-03T00:00:00Z,NA,NA,2017,5,With CBA,1,0,4,0,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,Low density
NA,208,INFORMATION AND COMMUNICATION,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,150,30,20,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,4,4,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,209,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,160,46,28.749999999999996,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,4,4,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,210,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,50,15,30,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,4,4,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,Low density
NA,211,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,80,11,13.750000000000002,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,4,4,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,212,TRANSPORT AND  STORAGE,NCR,2017,RANK AND FILE,"INDEPENDENT
UNION",80,12,15,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,4,4,RANK-AND-FILE,Independent,All others,Services,Low density
NA,213,INFORMATION AND COMMUNICATION,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,230,88,38.26086956521739,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,4,4,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
0975,214,ACCOMODATION AND FOOD SERVICE  ACTIVITIES,NCR,2017,SUPERVISORY,INDEPENDENT UNION,555,35,6.306306306306306,Luzon,0975_Peninsula,THE PENINSULA MANILA,ACCOMODATION AND FOOD SERVICE ACTIVITIES,NUWHRAIN-MANILA PENINSULA SUPERVISORS CHAPTER (NUWHRAIN-MPSC),2018-01-01T00:00:00Z,2022-12-31T00:00:00Z,NA,NA,2018,5,With CBA,1,1,4,1,OTHERS,Independent,All others,Services,Low density
NA,215,MANUFACTURING,NCR,2017,RANK AND FILE,"INDEPENDENT
UNION",1220,1220,100,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,4,4,RANK-AND-FILE,Independent,Manufacturing,Industry,High density
NA,216,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,170,74,43.529411764705884,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,4,4,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,Low density
NA,217,CONSTRUCTION,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,149,130,87.24832214765101,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,4,4,RANK-AND-FILE,Local/Chapter,All others,Industry,High density
NA,218,CONSTRUCTION,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,149,80,53.691275167785236,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,4,4,RANK-AND-FILE,Local/Chapter,All others,Industry,High density
0105,219,MANUFACTURING,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,26,19,73.07692307692307,Luzon,0105_Versapack,VERSAPACK PACKAGING CORP.,MANUFACTURING,NAGKAKAISANG LAKAS NG MANGGAGAWA SA VERSAPACK PACKAGING CORPORATION,2021-03-23T00:00:00Z,2023-06-24T00:00:00Z,25,NA,2021,2,With CBA,1,4,4,4,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,High density
NA,220,CONSTRUCTION,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,220,15,6.8181818181818175,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,4,4,RANK-AND-FILE,Local/Chapter,All others,Industry,Low density
NA,221,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,NCR,2017,RANK AND FILE,LOCAL/CHAPTER,1500,1300,86.66666666666667,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,4,4,RANK-AND-FILE,Local/Chapter,All others,Services,High density
NA,222,MANUFACTURING,NCR,2017,RANK AND FILE,"INDEPENDENT
UNION",85,46,54.11764705882353,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,4,4,RANK-AND-FILE,Independent,Manufacturing,Industry,High density
NA,223,TRANSPORT AND  STORAGE,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,200,61,30.5,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
0258,224,MANUFACTURING,NCR,2016,RANK AND FILE,"INDEPENDENT
UNION",NA,21,NA,Luzon,0258_3J Plastic,3J PLASTIC WORLD AND MANUFACTURING CORPORATION,MANUFACTURING,SAMAHAN NG MANGGAGAWA SA 3J PLASTIC,2016-06-20T00:00:00Z,2021-06-19T00:00:00Z,NA,NA,2016,5,With CBA,1,0,5,0,RANK-AND-FILE,Independent,Manufacturing,Industry,NA
0280,225,MANUFACTURING,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,139,131,94.24460431654677,Luzon,0280_Al Supreme,ALPHA SUPREME CORPORATION,MANUFACTURING,ALPHA SUPREME CORPORATION WORKERS UNION-PACIWU-TUCP,2016-10-01T00:00:00Z,2021-09-30T00:00:00Z,NA,NA,2016,5,With CBA,1,0,5,0,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,High density
NA,226,MANUFACTURING,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,4800,500,10.416666666666668,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,Low density
NA,227,MANUFACTURING,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,44,27,61.36363636363637,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,High density
NA,228,ADMINISTRATIVE AND SUPPORT  SERVICE ACTIVITIES,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,849,176,20.730270906949354,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,229,CONSTRUCTION,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,300,300,100,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Industry,High density
NA,230,CONSTRUCTION,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,120,14,11.666666666666666,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Industry,Low density
0319,231,TRANSPORT AND STORAGE,NCR,2016,RANK AND FILE,INDEPENDENT UNION,140,88,62.857142857142854,Luzon,0319_BMLBC,BACLARAN METRO LINK BUS CORPORATION,TRANSPORT AND STORAGE,SAMAHANG MANGGAGAWA NG BACLARAN METROLINK ASSOCIATION (SMBMA),2017-10-01T00:00:00Z,2022-09-30T00:00:00Z,NA,NA,2017,5,With CBA,1,1,5,1,RANK-AND-FILE,Independent,All others,Services,High density
1089,232,FINANCIAL AND  INSURANCE ACTIVITIES,NCR,2016,RANK AND FILE,INDEPENDENT UNION,14948,14838,99.26411560074926,Luzon,NA,"BANCO DE ORO UNIBANK, INC.",FINANCIAL AND INSURANCE ACTIVITIES,BANCO DE ORO EMPLOYEES ASSOCIATION - ALU,2018-11-01T00:00:00Z,2020-10-31T00:00:00Z,NA,NA,2018,2,With CBA,1,2,5,2,RANK-AND-FILE,Independent,All others,Services,High density
NA,233,MANUFACTURING,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,200,100,50,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,High density
NA,234,ADMINISTRATIVE AND SUPPORT  SERVICE ACTIVITIES,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,21,NA,NA,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,NA
NA,235,TRANSPORT AND  STORAGE,NCR,2016,RANK AND FILE,"INDEPENDENT
UNION",18,12,66.66666666666666,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Independent,All others,Services,High density
1106,236,MANUFACTURING,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,50,15,30,Luzon,1106_Central,CENTRAL CORRUGATED BOX CORP.,MANUFACTURING,CENTRAL CORRUGATED BOX CORP. WORKER'S UNION-NWB,2020-12-28T00:00:00Z,2025-12-27T00:00:00Z,NA,NA,2020,5,With CBA,1,4,5,4,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,Low density
0394,237,MANUFACTURING,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,94,10,10.638297872340425,Luzon,0394_CPC,CLEARPLAS PACKAGING CORPORATION,MANUFACTURING,CLEARPLAS PACKAGING CORP. EMPLOYEES UNION-CIO-TUCP,2016-10-01T00:00:00Z,2021-11-30T00:00:00Z,NA,NA,2016,5,With CBA,1,0,5,0,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,Low density
NA,238,ADMINISTRATIVE  AND SUPPORT SERVICE ACTIVITIES,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,NA,20,NA,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,NA
NA,239,TRANSPORT AND  STORAGE,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,NA,NA,NA,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,NA
NA,240,INFORMATION AND COMMUNICATION,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,700,700,100,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,High density
NA,241,CONSTRUCTION,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,45,18,40,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Industry,Low density
NA,242,TRANSPORT AND  STORAGE,NCR,2016,RANK AND FILE,"INDEPENDENT
UNION",1200,638,53.166666666666664,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Independent,All others,Services,High density
NA,243,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING  SUPPLY",NCR,2016,RANK AND FILE,LOCAL/CHAPTER,105,28,26.666666666666668,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Industry,Low density
NA,244,MANUFACTURING,NCR,2016,RANK AND FILE,"INDEPENDENT
UNION",80,56,70,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Independent,Manufacturing,Industry,High density
NA,245,CONSTRUCTION,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,350,275,78.57142857142857,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Industry,High density
NA,246,"AGRICULTURE,  FORESTRY AND FISHING",NCR,2016,RANK AND FILE,LOCAL/CHAPTER,35,19,54.285714285714285,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,High density
NA,247,MANUFACTURING,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,28,6,21.428571428571427,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,Low density
0476,248,TRANSPORT AND  STORAGE,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,405,300,74.07407407407408,Luzon,0476_EPETI,"EPE TRANSPORT, INC.",TRANSPORT AND STORAGE,"EPE TRANSPORT, INC. DRIVERS UNION-FSM",2017-01-16T00:00:00Z,2022-01-15T00:00:00Z,NA,NA,2017,5,With CBA,1,1,5,1,RANK-AND-FILE,Local/Chapter,All others,Services,High density
NA,249,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,100,25,25,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,250,OTHER SERVICES  ACTIVITIES,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,20,20,100,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,High density
0488,251,MANUFACTURING,NCR,2016,RANK AND FILE,"INDEPENDENT
UNION",149,92,61.74496644295302,Luzon,0488_EA Tech,"EXCELLENCE APPLIANCE TECHNOLOGIES, INC.",MANUFACTURING,EXCELLENCE APPLIANCE TECHNOLOGIES (EXATECH) EMPLOYEES ASSOCIATION,2016-08-01T00:00:00Z,2021-07-31T00:00:00Z,NA,NA,2016,5,With CBA,1,0,5,0,RANK-AND-FILE,Independent,Manufacturing,Industry,High density
NA,252,ADMINISTRATIVE AND SUPPORT  SERVICE ACTIVITIES,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,30,17,56.666666666666664,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,High density
NA,253,MANUFACTURING,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,50,38,76,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,High density
NA,254,MANUFACTURING,NCR,2016,RANK AND FILE,INDEPENDENT,NA,27,NA,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Independent,Manufacturing,Industry,NA
NA,255,MANUFACTURING,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,28,18,64.28571428571429,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,High density
NA,256,ADMINISTRATIVE  AND SUPPORT SERVICE ACTIVITIES,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,32,9,28.125,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,257,MANUFACTURING,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,72,9,12.5,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,Low density
NA,258,MANUFACTURING,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,42,25,59.523809523809526,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,High density
NA,259,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,21,18,85.71428571428571,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,High density
0546,260,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,56,30,53.57142857142857,Luzon,0546_Grimalkin,GRIMALKIN CORPORATION,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,GRIMALKIN WORKERS UNION-PTGWO,2016-12-15T00:00:00Z,2021-12-14T00:00:00Z,NA,NA,2017,5,With CBA,1,1,5,1,RANK-AND-FILE,Local/Chapter,All others,Services,High density
0550,261,MANUFACTURING,NCR,2016,RANK AND FILE,"INDEPENDENT
UNION",NA,NA,NA,Luzon,0550_Hahsy,"HAHSY INDUSTRIES, INC.",MANUFACTURING,"SAMAHAN  NG MANGGAGAWA SA HAHSY INDUSTRIES, INC.",2017-01-15T00:00:00Z,2022-01-15T00:00:00Z,NA,NA,2017,5,With CBA,1,1,5,1,RANK-AND-FILE,Independent,Manufacturing,Industry,NA
0587,262,OTHER SERVICES  ACTIVITIES,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,60,12,20,Luzon,0587_IKK,"IKK ICHIGAN, INC.",OTHER SERVICES ACTIVITIES,IKK ICHIGAN EMPLOYEES UNION,2016-07-01T00:00:00Z,2021-06-30T00:00:00Z,NA,NA,2016,5,With CBA,1,0,5,0,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
0597,263,MANUFACTURING,NCR,2016,RANK AND FILE,"INDEPENDENT
UNION",270,84,31.11111111111111,Luzon,0597_IQDCI,"INFINITE QUALITY DESIGNS CENTER, INC.",MANUFACTURING,SAMAHAN NG MGA MANGGAGAWA SA INFINITE,2016-07-14T00:00:00Z,2021-07-14T00:00:00Z,NA,NA,2016,5,With CBA,1,0,5,0,RANK-AND-FILE,Independent,Manufacturing,Industry,Low density
0606,264,MANUFACTURING,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,77,45,58.44155844155844,Luzon,0606_IFPEI,"INTERNATIONAL FINE PAPER EXCHANGE, INC.",MANUFACTURING,INTERNATIONAL FINE PAPER EXCHANGE WORKERS UNION,2016-12-15T00:00:00Z,2021-12-14T00:00:00Z,NA,NA,2017,5,With CBA,1,1,5,1,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,High density
NA,265,MANUFACTURING,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,100,11,11,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,Low density
NA,266,TRANSPORT AND  STORAGE,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,75,50,66.66666666666666,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,High density
0625,267,MANUFACTURING,NCR,2016,RANK AND FILE,"INDEPENDENT
UNION",20,12,60,Luzon,0625_JBCPI,JBC PLASTIC INDUSTRY,MANUFACTURING,JBC PLASTIC INDUSTRY EMPLOYEES WELFARE ORGANIZATION,2016-12-01T00:00:00Z,2021-11-30T00:00:00Z,NA,NA,2018,5,With CBA,1,2,5,2,RANK-AND-FILE,Independent,Manufacturing,Industry,High density
NA,268,MANUFACTURING,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,27,11,40.74074074074074,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,Low density
NA,269,CONSTRUCTION,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,250,10,4,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Industry,Low density
0637,270,MANUFACTURING,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,115,55,47.82608695652174,Luzon,0637_KVC,KAINGIN VINYL CORPORATION,MANUFACTURING,OBRERO PILIPINO - KAINGIN CHAPTER,2016-11-26T00:00:00Z,2021-11-25T00:00:00Z,NA,NA,2017,5,With CBA,1,1,5,1,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,Low density
NA,271,MANUFACTURING,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,25,6,24,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,Low density
0654,272,MANUFACTURING,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,86,66,76.74418604651163,Luzon,0654_KB Farm,KNOTSBERRY FARM MFG. CO. INC.,MANUFACTURING,KAPATIRAN NG MANGGAGAWA SA KNOTSBERRY FARM MANUFACTURING CO.-PSSLU,2016-11-08T00:00:00Z,2021-11-08T00:00:00Z,NA,NA,2017,5,With CBA,1,1,5,1,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,High density
NA,273,MANUFACTURING,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,60,12,20,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,Low density
0672,274,MANUFACTURING,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,128,16,12.5,Luzon,0672_Leotire,LEOTIRE MANUFACTURING CORPORATION,MANUFACTURING,LEOTIRE MANUFACTURING LABOR UNION,2016-08-01T00:00:00Z,2021-07-31T00:00:00Z,NA,NA,2016,5,With CBA,1,0,5,0,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,Low density
NA,275,TRANSPORT AND  STORAGE,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,NA,NA,NA,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,NA
NA,276,TRANSPORT AND  STORAGE,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,30,14,46.666666666666664,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,277,OTHER SERVICES ACTIVITIES,NCR,2016,RANK AND FILE,INDEPENDENT UNION,20,20,100,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Independent,All others,Services,High density
NA,278,TRANSPORT AND  STORAGE,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,1000,275,27.500000000000004,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,279,TRANSPORT AND STORAGE,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,NA,265,NA,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,NA
NA,280,ACCOMODATION AND FOOD SERVICE  ACTIVITIES,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,891,482,54.09652076318743,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,High density
1131,281,MANUFACTURING,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,25,15,60,Luzon,1131_Mayon,MAYON INDUSTRIAL CORPORATION,MANUFACTURING,MAYON INDUSTRIAL CORPORATION WORKERS UNION-ALU-TUCP,2021-05-02T00:00:00Z,2026-05-01T00:00:00Z,NA,NA,2021,5,With CBA,1,5,5,5,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,High density
NA,282,TRANSPORT AND  STORAGE,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,18,7,38.88888888888889,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,283,MANUFACTURING,NCR,2016,RANK AND FILE,"INDEPENDENT
UNION",300,195,65,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Independent,Manufacturing,Industry,High density
NA,284,"WATER SUPPLY; SEWERAGE, WATE MANAGEMENT AND REMEDIATION  ACTIVITIES",NCR,2016,RANK AND FILE,INDEPENDENT UNION,200,100,50,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Independent,All others,Industry,High density
NA,285,OTHER SERVICES  ACTIVITIES,NCR,2016,RANK AND FILE,"INDEPENDENT
UNION",166,37,22.289156626506024,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Independent,All others,Services,Low density
NA,286,MANUFACTURING,NCR,2016,RANK AND FILE,INDEPENDENT,80,10,12.5,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Independent,Manufacturing,Industry,Low density
NA,287,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,300,24,8,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,288,OTHER SERVICES  ACTIVITIES,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,150,24,16,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
0796,289,MANUFACTURING,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,98,17,17.346938775510203,Luzon,0796_Pack Rite,"PACK-RITE MANUFACTURING, INC.",MANUFACTURING,PACK-RITE EMPLOYEES ASSOCIATION - FFW,2016-10-01T00:00:00Z,2021-09-30T00:00:00Z,NA,NA,2016,5,With CBA,1,0,5,0,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,Low density
