CBA_ID,UNION_ID,PSIC.x,REGION,EBU_YEAR_REG,SCOPE.x,TYPE,EMPLOYEES,MEMBERS,union_density,island_grp,FILE_ID,FIRM_NAME.y,PSIC.y,UNION_NAME.y,START_DATE,END_DATE,BARGAIN_UNIT,SCOPE.y,YEAR_REG,Duration,CBA_yes,EVENT,UNIONAGE1,UNIONAGE2,TIMECBA,SCOPE_new,Type,Sector,sector_grp,Density
NA,300,TRANSPORT AND  STORAGE,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,200,50,25,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,301,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING  SUPPLY",NCR,2016,RANK AND FILE,LOCAL/CHAPTER,80,20,25,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Industry,Low density
NA,302,EDUCATION,NCR,2016,RANK AND FILE,"INDEPENDENT
UNION",25,10,40,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Independent,All others,Services,Low density
NA,303,CONSTRUCTION,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,21,11,52.38095238095239,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Industry,High density
0930,304,MANUFACTURING,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,65,10,15.384615384615385,Luzon,0930_Stafford,STAFFORD PAPER CORPORATION,MANUFACTURING,STAFFORD PAPER CORPORATION EMPLOYEES UNION,2016-11-01T00:00:00Z,2021-10-30T00:00:00Z,NA,NA,2016,5,With CBA,1,0,5,0,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,Low density
0931,305,CONSTRUCTION,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,1000,500,50,Luzon,0931_Stages Design,STAGES DESIGN AND CONSTRUCTION,CONSTRUCTION,STAGES DESIGN AND CONSTRUCTION WORKERS ASSOCIATION-ALU-TUCP,2016-11-01T00:00:00Z,2021-10-31T00:00:00Z,NA,NA,2017,5,With CBA,1,1,5,1,RANK-AND-FILE,Local/Chapter,All others,Industry,High density
NA,306,CONSTRUCTION,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,760,250,32.89473684210527,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Industry,Low density
0932,307,MANUFACTURING,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,48,38,79.16666666666666,Luzon,0932_Star 360,"STAR 360 PHILIPPINES, INC.",MANUFACTURING,STAR 360 PHILIPPINES WORKERS UNION,2016-12-15T00:00:00Z,2021-12-14T00:00:00Z,NA,NA,2017,5,With CBA,1,1,5,1,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,High density
NA,308,"ARTS,  ENTERTAINMENT AND RECREATION",NCR,2016,RANK AND FILE,LOCAL/CHAPTER,NA,NA,NA,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,NA
0938,309,TRANSPORT AND  STORAGE,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,100,20,20,Luzon,0938_SADC,STRAIGHT AHEAD DELIVERY CORPORATION,TRANSPORT AND STORAGE,STRAIGHT AHEAD DELIVERY WORKERS ORGANIZATION-GFW,2017-06-01T00:00:00Z,2022-05-31T00:00:00Z,NA,NA,2017,5,With CBA,1,1,5,1,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,310,ADMINISTRATIVE AND SUPPORT  SERVICE ACTIVITIES,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,100,25,25,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,311,MANUFACTURING,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,50,10,20,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,Low density
NA,312,MANUFACTURING,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,40,15,37.5,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,Low density
NA,313,MANUFACTURING,NCR,2016,RANK AND FILE,"INDEPENDENT
UNION",45,20,44.44444444444444,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Independent,Manufacturing,Industry,Low density
NA,314,OTHER SERVICES  ACTIVITIES,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,39,19,48.717948717948715,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,315,ADMINISTRATIVE  AND SUPPORT SERVICE ACTIVITIES,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,39,20,51.28205128205128,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,High density
NA,316,ADMINISTRATIVE AND SUPPORT  SERVICE ACTIVITIES,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,39,19,48.717948717948715,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,317,ADMINISTRATIVE AND SUPPORT  SERVICE ACTIVITIES,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,39,18,46.15384615384615,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,318,ADMINISTRATIVE AND SUPPORT  SERVICE ACTIVITIES,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,39,17,43.58974358974359,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,319,ADMINISTRATIVE  AND SUPPORT SERVICE ACTIVITIES,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,39,20,51.28205128205128,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,High density
NA,320,ADMINISTRATIVE AND SUPPORT  SERVICE ACTIVITIES,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,39,14,35.8974359,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,321,ADMINISTRATIVE AND SUPPORT  SERVICE ACTIVITIES,NCR,2016,RANK AND FILE,LOCAL/CHAPTER,39,19,48.717948717948715,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,5,5,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
